timestamp,portfolio_pnl,pebbles_pnl,polyunit_pnl,portfolio_drawdown
7600,-541.5,82.5,-624.0,1351.5
7700,-805.5,82.5,-888.0,1615.5
7800,-670.5,85.5,-756.0,1480.5
7900,-1368.0,84.0,-1452.0,2178.0
8000,-1212.0,84.0,-1296.0,2022.0
8100,-1407.5,88.5,-1496.0,2217.5
8200,-1362.0,84.0,-1446.0,2172.0
8300,-1713.5,82.5,-1796.0,2523.5
8400,-1825.0,87.0,-1912.0,2635.0
8500,-1985.5,40.5,-2026.0,2795.5
8600,-1826.5,85.5,-1912.0,2636.5
8700,-1496.5,85.5,-1582.0,2306.5
8800,-1262.0,84.0,-1346.0,2072.0
8900,-1467.5,82.5,-1550.0,2277.5
9000,-1228.0,84.0,-1312.0,2038.0
9100,-870.5,135.0,-1005.5,1680.5
9200,-735.5,84.0,-819.5,1545.5
9300,-815.0,82.5,-897.5,1625.0
9400,-891.5,84.0,-975.5,1701.5
9500,-887.0,82.5,-969.5,1697.0
9600,-777.5,84.0,-861.5,1587.5
9700,-1018.5,84.0,-1102.5,1828.5
9800,-1281.0,85.5,-1366.5,2091.0
9900,-1434.5,84.0,-1518.5,2244.5
10000,-1550.5,84.0,-1634.5,2360.5
10100,-1991.0,85.5,-2076.5,2801.0
10200,-1794.0,195.5,-1989.5,2604.0
10300,-1233.0,192.0,-1425.0,2043.0
10400,-912.0,192.0,-1104.0,1722.0
10500,-1346.5,195.5,-1542.0,2156.5
10600,-1605.5,192.0,-1797.5,2415.5
10700,-1476.0,195.5,-1671.5,2286.0
10800,-1410.0,192.0,-1602.0,2220.0
10900,-1589.5,195.5,-1785.0,2399.5
11000,-1605.5,192.0,-1797.5,2415.5
11100,-1505.5,185.0,-1690.5,2315.5
11200,-582.0,195.5,-777.5,1392.0
11300,-1206.0,188.5,-1394.5,2016.0
11400,-1317.0,192.0,-1509.0,2127.0
11500,-1435.5,192.0,-1627.5,2245.5
11600,-1494.0,195.5,-1689.5,2304.0
11700,-1534.0,195.5,-1729.5,2344.0
11800,-1574.5,192.0,-1766.5,2384.5
11900,-1361.0,188.5,-1549.5,2171.0
12000,-1186.0,195.5,-1381.5,1996.0
12100,-1228.5,195.5,-1424.0,2038.5
12200,-1188.5,192.0,-1380.5,1998.5
12300,-1236.0,195.5,-1431.5,2046.0
12400,-1172.0,188.5,-1360.5,1982.0
12500,-1254.5,192.0,-1446.5,2064.5
12600,-1182.0,199.0,-1381.0,1992.0
12700,-1332.5,195.5,-1528.0,2142.5
12800,-1340.0,192.0,-1532.0,2150.0
12900,-1457.0,199.0,-1656.0,2267.0
13000,-1584.0,192.0,-1776.0,2394.0
13100,-1398.5,195.5,-1594.0,2208.5
13200,-1472.5,195.5,-1668.0,2282.5
13300,-1529.5,188.5,-1718.0,2339.5
13400,-1757.5,188.5,-1946.0,2567.5
13500,-1968.5,195.5,-2164.0,2778.5
13600,-2063.5,188.5,-2252.0,2873.5
13700,-2048.0,192.0,-2240.0,2858.0
13800,-2131.5,188.5,-2320.0,2941.5
13900,-2008.0,192.0,-2200.0,2818.0
14000,-1914.0,192.0,-2106.0,2724.0
14100,-2072.0,192.0,-2264.0,2882.0
14200,-2078.0,192.0,-2270.0,2888.0
14300,-2192.5,195.5,-2388.0,3002.5
14400,-2296.0,192.0,-2488.0,3106.0
14500,-2172.5,195.5,-2368.0,2982.5
14600,-1951.5,188.5,-2140.0,2761.5
14700,-2102.5,90.5,-2193.0,2912.5
14800,-1917.5,192.0,-2109.5,2727.5
14900,-1778.5,192.0,-1970.5,2588.5
15000,-1796.0,192.0,-1988.0,2606.0
15100,-1773.0,192.0,-1965.0,2583.0
15200,-1448.0,185.0,-1633.0,2258.0
15300,-1327.0,195.5,-1522.5,2137.0
15400,-1328.0,278.0,-1606.0,2138.0
15500,-1274.0,268.0,-1542.0,2084.0
15600,-1197.0,268.0,-1465.0,2007.0
15700,-1350.5,273.0,-1623.5,2160.5
15800,-853.5,410.5,-1264.0,1663.5
15900,-799.0,415.5,-1214.5,1609.0
16000,-946.0,525.0,-1471.0,1756.0
16100,-1094.5,525.5,-1620.0,1904.5
16200,-1219.5,525.5,-1745.0,2029.5
16300,-1329.5,526.0,-1855.5,2139.5
16400,-1263.5,525.0,-1788.5,2073.5
16500,-1499.0,525.0,-2024.0,2309.0
16600,-1551.0,525.0,-2076.0,2361.0
16700,-1636.5,525.0,-2161.5,2446.5
16800,-1621.0,524.5,-2145.5,2431.0
16900,-1387.0,525.5,-1912.5,2197.0
17000,-1303.5,525.0,-1828.5,2113.5
17100,-1307.5,525.0,-1832.5,2117.5
17200,-1284.0,525.0,-1809.0,2094.0
17300,-1321.0,525.0,-1846.0,2131.0
17400,-1259.5,525.5,-1785.0,2069.5
17500,-1393.5,525.5,-1919.0,2203.5
17600,-1238.0,635.5,-1873.5,2048.0
17700,-1193.0,633.0,-1826.0,2003.0
17800,-1240.5,633.0,-1873.5,2050.5
17900,-1526.5,630.5,-2157.0,2336.5
18000,-1398.5,635.5,-2034.0,2208.5
18100,-1633.5,633.0,-2266.5,2443.5
18200,-1666.0,630.5,-2296.5,2476.0
18300,-1643.0,635.5,-2278.5,2453.0
18400,-1836.5,630.5,-2467.0,2646.5
18500,-1995.0,628.0,-2623.0,2805.0
18600,-1737.0,633.0,-2370.0,2547.0
18700,-1520.5,633.0,-2153.5,2330.5
18800,-1511.5,633.0,-2144.5,2321.5
18900,-1558.0,633.0,-2191.0,2368.0
19000,-1594.0,630.5,-2224.5,2404.0
19100,-1776.5,633.0,-2409.5,2586.5
19200,-1893.0,635.5,-2528.5,2703.0
19300,-1891.5,633.0,-2524.5,2701.5
19400,-1744.5,633.0,-2377.5,2554.5
19500,-1845.5,633.0,-2478.5,2655.5
19600,-2131.0,633.0,-2764.0,2941.0
19700,-2046.0,633.0,-2679.0,2856.0
19800,-1911.5,633.0,-2544.5,2721.5
19900,-1900.0,635.5,-2535.5,2710.0
20000,-1882.5,635.5,-2518.0,2692.5
20100,-2214.0,633.0,-2847.0,3024.0
20200,-2015.5,687.0,-2702.5,2825.5
20300,-2231.5,685.5,-2917.0,3041.5
20400,-2316.0,687.0,-3003.0,3126.0
20500,-2372.0,688.5,-3060.5,3182.0
20600,-2312.0,688.5,-3000.5,3122.0
20700,-2505.5,685.5,-3191.0,3315.5
20800,-2814.5,687.0,-3501.5,3624.5
20900,-3099.0,685.5,-3784.5,3909.0
21000,-3034.5,688.5,-3723.0,3844.5
21100,-2737.5,685.5,-3423.0,3547.5
21200,-2487.5,687.0,-3174.5,3297.5
21300,-2579.0,687.0,-3266.0,3389.0
21400,-2636.0,687.0,-3323.0,3446.0
21500,-2503.0,690.0,-3193.0,3313.0
21600,-2511.0,688.5,-3199.5,3321.0
21700,-2647.0,685.5,-3332.5,3457.0
21800,-2629.0,685.5,-3314.5,3439.0
21900,-2526.5,687.0,-3213.5,3336.5
22000,-2736.0,688.5,-3424.5,3546.0
22100,-3225.5,688.5,-3914.0,4035.5
22200,-3189.5,687.0,-3876.5,3999.5
22300,-3179.5,687.0,-3866.5,3989.5
22400,-3261.5,688.5,-3950.0,4071.5
22500,-3296.5,687.0,-3983.5,4106.5
22600,-3188.5,687.0,-3875.5,3998.5
22700,-3022.0,687.0,-3709.0,3832.0
22800,-3063.0,685.5,-3748.5,3873.0
22900,-3250.5,688.5,-3939.0,4060.5
23000,-3034.5,687.0,-3721.5,3844.5
23100,-3010.0,687.0,-3697.0,3820.0
23200,-3004.5,685.5,-3690.0,3814.5
23300,-2850.0,687.0,-3537.0,3660.0
23400,-2365.5,768.0,-3133.5,3175.5
23500,-2434.5,765.0,-3199.5,3244.5
23600,-2347.0,768.0,-3115.0,3157.0
23700,-2145.5,771.0,-2916.5,2955.5
23800,-1747.5,771.0,-2518.5,2557.5
23900,-1928.0,765.0,-2693.0,2738.0
24000,-1699.0,771.0,-2470.0,2509.0
24100,-1712.5,768.0,-2480.5,2522.5
24200,-1746.0,768.0,-2514.0,2556.0
24300,-1849.0,765.0,-2614.0,2659.0
24400,-1972.5,768.0,-2740.5,2782.5
24500,-1827.0,768.0,-2595.0,2637.0
24600,-1989.5,876.0,-2865.5,2799.5
24700,-2036.0,871.0,-2907.0,2846.0
24800,-2208.0,871.0,-3079.0,3018.0
24900,-1993.0,876.0,-2869.0,2803.0
25000,-2488.0,876.0,-3364.0,3298.0
25100,-2123.5,926.0,-3049.5,2933.5
25200,-1861.5,934.0,-2795.5,2671.5
25300,-1542.5,926.0,-2468.5,2352.5
25400,-1376.5,934.0,-2310.5,2186.5
25500,-1620.0,934.0,-2554.0,2430.0
25600,-1396.5,926.0,-2322.5,2206.5
25700,-1322.5,926.0,-2248.5,2132.5
25800,-1335.5,930.0,-2265.5,2145.5
25900,-1558.0,934.0,-2492.0,2368.0
26000,-1750.0,934.0,-2684.0,2560.0
26100,-1895.5,934.0,-2829.5,2705.5
26200,-1442.0,1066.0,-2508.0,2252.0
26300,-1714.5,934.0,-2648.5,2524.5
26400,-1957.5,922.0,-2879.5,2767.5
26500,-2076.5,934.0,-3010.5,2886.5
26600,-906.0,934.0,-1840.0,1716.0
26700,-223.0,926.0,-1149.0,1033.0
26800,-299.0,930.0,-1229.0,1109.0
26900,589.0,934.0,-345.0,221.0
27000,465.5,930.0,-464.5,344.5
27100,596.5,926.0,-329.5,213.5
27200,240.5,934.0,-693.5,569.5
27300,538.5,926.0,-387.5,271.5
27400,293.0,930.0,-637.0,517.0
27500,52.0,938.0,-886.0,758.0
27600,555.0,926.0,-371.0,255.0
27700,853.0,926.0,-73.0,0.0
27800,811.0,926.0,-115.0,42.0
27900,727.0,930.0,-203.0,126.0
28000,1467.5,926.0,541.5,0.0
28100,1289.0,926.0,363.0,178.5
28200,1922.0,988.0,934.0,0.0
28300,2457.5,988.0,1469.5,0.0
28400,1933.5,993.0,940.5,524.0
28500,2052.0,988.0,1064.0,405.5
28600,2028.5,983.0,1045.5,429.0
28700,1481.5,988.0,493.5,976.0
28800,634.0,983.0,-349.0,1823.5
28900,900.0,993.0,-93.0,1557.5
29000,921.0,833.0,88.0,1536.5
29100,713.5,983.0,-269.5,1744.0
29200,1492.5,978.0,514.5,965.0
29300,396.5,983.0,-586.5,2061.0
29400,387.0,993.0,-606.0,2070.5
29500,401.5,988.0,-586.5,2056.0
29600,792.0,983.0,-191.0,1665.5
29700,935.5,988.0,-52.5,1522.0
29800,1159.0,988.0,171.0,1298.5
29900,871.5,993.0,-121.5,1586.0
30000,665.5,993.0,-327.5,1792.0
30100,507.5,988.0,-480.5,1950.0
30200,374.5,983.0,-608.5,2083.0
30300,336.5,993.0,-656.5,2121.0
30400,130.0,988.0,-858.0,2327.5
30500,-208.5,983.0,-1191.5,2666.0
30600,-163.0,983.0,-1146.0,2620.5
30700,66.0,993.0,-927.0,2391.5
30800,337.5,988.0,-650.5,2120.0
30900,486.5,988.0,-501.5,1971.0
31000,532.5,988.0,-455.5,1925.0
31100,419.5,993.0,-573.5,2038.0
31200,412.0,988.0,-576.0,2045.5
31300,445.0,993.0,-548.0,2012.5
31400,439.0,993.0,-554.0,2018.5
31500,854.5,988.0,-133.5,1603.0
31600,738.0,983.0,-245.0,1719.5
31700,707.0,1003.0,-296.0,1750.5
31800,743.0,843.0,-100.0,1714.5
31900,1389.0,983.0,406.0,1068.5
32000,1461.0,1163.0,298.0,996.5
32100,1321.5,838.0,483.5,1136.0
32200,1311.0,983.0,328.0,1146.5
32300,1640.5,993.0,647.5,817.0
32400,1553.5,993.0,560.5,904.0
32500,1990.0,983.0,1007.0,467.5
32600,2037.0,988.0,1049.0,420.5
32700,2114.5,988.0,1126.5,343.0
32800,2011.5,978.0,1033.5,446.0
32900,1613.5,983.0,630.5,844.0
33000,1690.0,993.0,697.0,767.5
33100,1978.5,978.0,1000.5,479.0
33200,2254.5,998.0,1256.5,203.0
33300,1671.5,833.0,838.5,786.0
33400,1909.0,993.0,916.0,548.5
33500,1806.0,988.0,818.0,651.5
33600,2004.5,983.0,1021.5,453.0
33700,1901.0,983.0,918.0,556.5
33800,1776.0,988.0,788.0,681.5
33900,1780.5,988.0,792.5,677.0
34000,2107.0,983.0,1124.0,350.5
34100,2505.0,983.0,1522.0,0.0
34200,2352.0,988.0,1364.0,153.0
34300,2593.5,988.0,1605.5,0.0
34400,2645.0,983.0,1662.0,0.0
34500,2531.0,988.0,1543.0,114.0
34600,2416.0,988.0,1428.0,229.0
34700,2434.5,988.0,1446.5,210.5
34800,2413.5,988.0,1425.5,231.5
34900,2507.5,988.0,1519.5,137.5
35000,2155.0,988.0,1167.0,490.0
35100,2101.0,993.0,1108.0,544.0
35200,1968.5,988.0,980.5,676.5
35300,2244.0,993.0,1251.0,401.0
35400,2402.0,983.0,1419.0,243.0
35500,2468.0,993.0,1475.0,177.0
35600,2229.5,988.0,1241.5,415.5
35700,2001.0,988.0,1013.0,644.0
35800,1953.5,993.0,960.5,691.5
35900,1768.5,993.0,775.5,876.5
36000,1564.5,983.0,581.5,1080.5
36100,1685.5,983.0,702.5,959.5
36200,1847.5,988.0,859.5,797.5
36300,1619.5,983.0,636.5,1025.5
36400,1699.5,988.0,711.5,945.5
36500,2355.0,988.0,1367.0,290.0
36600,2154.0,833.0,1321.0,491.0
36700,2292.5,988.0,1304.5,352.5
36800,2346.0,1158.0,1188.0,299.0
36900,2297.0,988.0,1309.0,348.0
37000,2421.0,988.0,1433.0,224.0
37100,2183.0,843.0,1340.0,462.0
37200,2367.0,993.0,1374.0,278.0
37300,2455.5,993.0,1462.5,189.5
37400,2483.5,988.0,1495.5,161.5
37500,2308.5,988.0,1320.5,336.5
37600,2288.5,978.0,1310.5,356.5
37700,2253.5,993.0,1260.5,391.5
37800,2156.5,983.0,1173.5,488.5
37900,2172.5,988.0,1184.5,472.5
38000,2177.0,993.0,1184.0,468.0
38100,2409.0,988.0,1421.0,236.0
38200,2507.5,983.0,1524.5,137.5
38300,2365.5,983.0,1382.5,279.5
38400,2433.0,983.0,1450.0,212.0
38500,3068.0,983.0,2085.0,0.0
38600,2347.0,978.0,1369.0,721.0
38700,3204.0,993.0,2211.0,0.0
38800,3233.5,993.0,2240.5,0.0
38900,3250.0,988.0,2262.0,0.0
39000,3321.5,988.0,2333.5,0.0
39100,3340.0,993.0,2347.0,0.0
39200,3342.5,993.0,2349.5,0.0
39300,3365.5,988.0,2377.5,0.0
39400,3223.5,993.0,2230.5,142.0
39500,3263.5,988.0,2275.5,102.0
39600,3212.0,998.0,2214.0,153.5
39700,3168.0,993.0,2175.0,197.5
39800,3088.5,993.0,2095.5,277.0
39900,3329.0,983.0,2346.0,36.5
40000,3400.0,998.0,2402.0,0.0
40100,3404.5,988.0,2416.5,0.0
40200,3413.0,983.0,2430.0,0.0
40300,3290.0,993.0,2297.0,123.0
40400,3367.5,983.0,2384.5,45.5
40500,3357.5,983.0,2374.5,55.5
40600,3328.0,993.0,2335.0,85.0
40700,3473.5,1168.0,2305.5,0.0
40800,3214.5,983.0,2231.5,259.0
40900,3292.0,993.0,2299.0,181.5
41000,3415.0,988.0,2427.0,58.5
41100,3393.5,993.0,2400.5,80.0
41200,3388.5,988.0,2400.5,85.0
41300,3348.0,998.0,2350.0,125.5
41400,3413.5,988.0,2425.5,60.0
41500,3467.5,988.0,2479.5,6.0
41600,3450.5,993.0,2457.5,23.0
41700,3422.5,998.0,2424.5,51.0
41800,3473.5,983.0,2490.5,0.0
41900,3531.0,988.0,2543.0,0.0
42000,3579.0,988.0,2591.0,0.0
42100,3545.0,988.0,2557.0,34.0
42200,3537.0,983.0,2554.0,42.0
42300,3560.0,993.0,2567.0,19.0
42400,3576.5,988.0,2588.5,2.5
42500,3605.5,988.0,2617.5,0.0
42600,3657.0,993.0,2664.0,0.0
42700,3698.0,983.0,2715.0,0.0
42800,3751.0,983.0,2768.0,0.0
42900,3667.0,993.0,2674.0,84.0
43000,3686.5,988.0,2698.5,64.5
43100,3658.5,988.0,2670.5,92.5
43200,3785.5,983.0,2802.5,0.0
43300,3865.0,988.0,2877.0,0.0
43400,3854.5,988.0,2866.5,10.5
43500,3808.5,988.0,2820.5,56.5
43600,3763.0,993.0,2770.0,102.0
43700,3802.5,988.0,2814.5,62.5
43800,3733.0,988.0,2745.0,132.0
43900,3864.0,988.0,2876.0,1.0
44000,3845.0,983.0,2862.0,20.0
44100,4190.5,988.0,3202.5,0.0
44200,4253.5,988.0,3265.5,0.0
44300,4361.0,983.0,3378.0,0.0
44400,4416.5,988.0,3428.5,0.0
44500,4259.5,993.0,3266.5,157.0
44600,4150.0,983.0,3167.0,266.5
44700,4087.5,993.0,3094.5,329.0
44800,4120.5,988.0,3132.5,296.0
44900,4177.5,983.0,3194.5,239.0
45000,3944.0,988.0,2956.0,472.5
45100,4115.0,1100.0,3015.0,301.5
45200,4134.5,1100.0,3034.5,282.0
45300,4307.0,1103.0,3204.0,109.5
45400,4262.5,1100.0,3162.5,154.0
45500,4379.5,1103.0,3276.5,37.0
45600,4597.5,1103.0,3494.5,0.0
45700,4611.5,1100.0,3511.5,0.0
45800,4544.5,1100.0,3444.5,67.0
45900,4486.5,1100.0,3386.5,125.0
46000,4439.0,1097.0,3342.0,172.5
46100,4436.0,1097.0,3339.0,175.5
46200,4397.5,1103.0,3294.5,214.0
46300,4292.0,1100.0,3192.0,319.5
46400,4179.0,1097.0,3082.0,432.5
46500,4251.5,1103.0,3148.5,360.0
46600,4241.0,1100.0,3141.0,370.5
46700,4343.5,1100.0,3243.5,268.0
46800,4136.0,1100.0,3036.0,475.5
46900,4047.5,1097.0,2950.5,564.0
47000,4096.5,1100.0,2996.5,515.0
47100,4055.0,1097.0,2958.0,556.5
47200,4194.5,1094.0,3100.5,417.0
47300,4319.0,1097.0,3222.0,292.5
47400,4394.5,1097.0,3297.5,217.0
47500,4556.5,1106.0,3450.5,55.0
47600,4628.0,1100.0,3528.0,0.0
47700,4669.5,1100.0,3569.5,0.0
47800,4489.5,1103.0,3386.5,180.0
47900,4543.0,1100.0,3443.0,126.5
48000,4520.5,1100.0,3420.5,149.0
48100,4624.0,1100.0,3524.0,45.5
48200,4487.5,1100.0,3387.5,182.0
48300,4565.0,1097.0,3468.0,104.5
48400,4607.5,1100.0,3507.5,62.0
48500,4688.5,1097.0,3591.5,0.0
48600,4638.0,1097.0,3541.0,50.5
48700,4522.5,1100.0,3422.5,166.0
48800,4371.0,1100.0,3271.0,317.5
48900,4371.0,1100.0,3271.0,317.5
49000,4310.0,1097.0,3213.0,378.5
49100,4331.5,1100.0,3231.5,357.0
49200,4301.0,1097.0,3204.0,387.5
49300,4396.5,1202.0,3194.5,292.0
49400,4311.0,1097.0,3214.0,377.5
49500,4420.5,1100.0,3320.5,268.0
49600,4411.5,1100.0,3311.5,277.0
49700,4430.5,1100.0,3330.5,258.0
49800,4448.5,1103.0,3345.5,240.0
49900,4453.0,1103.0,3350.0,235.5
50000,4439.0,1097.0,3342.0,249.5
50100,4429.0,1100.0,3329.0,259.5
50200,4544.5,1208.0,3336.5,144.0
50300,4434.0,1097.0,3337.0,254.5
50400,4420.0,1103.0,3317.0,268.5
50500,4420.0,1097.0,3323.0,268.5
50600,4528.5,1188.5,3340.0,160.0
50700,4534.0,1184.0,3350.0,154.5
50800,4529.5,1188.5,3341.0,159.0
50900,4517.0,1175.0,3342.0,171.5
51000,4502.5,1179.5,3323.0,186.0
51100,4514.5,1179.5,3335.0,174.0
51200,4541.5,1188.5,3353.0,147.0
51300,4518.0,1175.0,3343.0,170.5
51400,4529.0,1184.0,3345.0,159.5
51500,4560.5,1188.5,3372.0,128.0
51600,4561.5,1188.5,3373.0,127.0
51700,4565.0,1179.5,3385.5,123.5
51800,4571.0,1188.5,3382.5,117.5
51900,4536.0,1175.0,3361.0,152.5
52000,4524.5,1179.5,3345.0,164.0
52100,4539.0,1184.0,3355.0,149.5
52200,4566.5,1179.5,3387.0,122.0
52300,4569.0,1188.5,3380.5,119.5
52400,4602.5,1188.5,3414.0,86.0
52500,4604.5,1188.5,3416.0,84.0
52600,4593.0,1184.0,3409.0,95.5
52700,5115.0,1193.0,3922.0,0.0
52800,5000.0,1175.0,3825.0,115.0
52900,5001.5,1188.5,3813.0,113.5
53000,5113.0,1184.0,3929.0,2.0
53100,5277.5,1188.5,4089.0,0.0
53200,5126.0,1193.0,3933.0,151.5
53300,5232.5,1179.5,4053.0,45.0
53400,5167.0,1184.0,3983.0,110.5
53500,5103.5,1188.5,3915.0,174.0
53600,5072.5,1188.5,3884.0,205.0
53700,5055.5,1179.5,3876.0,222.0
53800,5048.0,1184.0,3864.0,229.5
53900,5196.0,1184.0,4012.0,81.5
54000,5241.0,1175.0,4066.0,36.5
54100,5213.0,1184.0,4029.0,64.5
54200,5171.0,1184.0,3987.0,106.5
54300,4892.0,1184.0,3708.0,385.5
54400,4755.0,1049.0,3706.0,522.5
54500,5113.5,1179.5,3934.0,164.0
54600,5189.0,1175.0,4014.0,88.5
54700,5285.0,1341.5,3943.5,0.0
54800,5114.0,1184.0,3930.0,171.0
54900,5222.0,1193.0,4029.0,63.0
55000,5170.5,1188.5,3982.0,114.5
55100,5151.5,1179.5,3972.0,133.5
55200,5343.5,1188.5,4155.0,0.0
55300,5563.5,1188.5,4375.0,0.0
55400,5448.0,1179.5,4268.5,115.5
55500,5288.5,1184.0,4104.5,275.0
55600,5436.5,1350.5,4086.0,127.0
55700,5489.0,1184.0,4305.0,74.5
55800,5434.0,1184.0,4250.0,129.5
55900,5550.0,1184.0,4366.0,13.5
56000,5515.0,1193.0,4322.0,48.5
56100,5533.0,1184.0,4349.0,30.5
56200,5456.5,1179.5,4277.0,107.0
56300,5425.0,1184.0,4241.0,138.5
56400,5540.0,1184.0,4356.0,23.5
56500,5739.0,1184.0,4555.0,0.0
56600,5695.5,1179.5,4516.0,43.5
56700,5788.5,1179.5,4609.0,0.0
56800,5943.0,1217.0,4726.0,0.0
56900,6077.0,1212.0,4865.0,0.0
57000,6045.0,1222.0,4823.0,32.0
57100,5848.0,1207.0,4641.0,229.0
57200,5884.0,1212.0,4672.0,193.0
57300,5656.0,1217.0,4439.0,421.0
57400,5900.0,1207.0,4693.0,177.0
57500,5830.0,1212.0,4618.0,247.0
57600,6055.0,1217.0,4838.0,22.0
57700,5920.0,1212.0,4708.0,157.0
57800,5742.5,1217.0,4525.5,334.5
57900,5641.5,1212.0,4429.5,435.5
58000,5739.0,1212.0,4527.0,338.0
58100,5895.0,1207.0,4688.0,182.0
58200,5693.0,1212.0,4481.0,384.0
58300,5522.0,1217.0,4305.0,555.0
58400,5812.0,1207.0,4605.0,265.0
58500,5734.0,1212.0,4522.0,343.0
58600,5627.0,1212.0,4415.0,450.0
58700,5333.0,1212.0,4121.0,744.0
58800,5295.0,1217.0,4078.0,782.0
58900,5487.0,1202.0,4285.0,590.0
59000,5349.5,1207.0,4142.5,727.5
59100,5404.0,1212.0,4192.0,673.0
59200,5489.0,1217.0,4272.0,588.0
59300,5488.5,1207.0,4281.5,588.5
59400,5689.0,1212.0,4477.0,388.0
59500,5786.0,1212.0,4574.0,291.0
59600,5827.0,1217.0,4610.0,250.0
59700,5977.5,1212.0,4765.5,99.5
59800,6052.0,1212.0,4840.0,25.0
59900,6134.0,1217.0,4917.0,0.0
60000,5804.0,1212.0,4592.0,330.0
60100,5967.5,1300.0,4667.5,166.5
60200,6049.0,1409.0,4640.0,85.0
60300,5893.5,1410.5,4483.0,240.5
60400,5844.5,1410.5,4434.0,289.5
60500,5966.0,1409.0,4557.0,168.0
60600,5989.0,1409.0,4580.0,145.0
60700,5825.0,1409.0,4416.0,309.0
60800,5942.5,1409.0,4533.5,191.5
60900,5897.0,1412.0,4485.0,237.0
61000,5837.0,1493.0,4344.0,297.0
61100,5674.0,1493.0,4181.0,460.0
61200,5584.5,1493.0,4091.5,549.5
61300,5723.5,1493.0,4230.5,410.5
61400,5534.0,1493.0,4041.0,600.0
61500,5347.5,1493.0,3854.5,786.5
61600,5356.5,1493.0,3863.5,777.5
61700,5341.5,1493.0,3848.5,792.5
61800,5409.5,1493.0,3916.5,724.5
61900,5623.0,1493.0,4130.0,511.0
62000,5598.0,1493.0,4105.0,536.0
62100,5162.0,1493.0,3669.0,972.0
62200,5138.0,1493.0,3645.0,996.0
62300,5207.0,1493.0,3714.0,927.0
62400,5289.0,1493.0,3796.0,845.0
